sku;name;abcClass;stock;min;status
NUT0004001;Junta espiralada 316L DN50 PN16;A;120;40;OK
NUT0004002;Junta espiralada 316L DN80 PN16;A;95;30;OK
NUT0004003;Junta espiralada 316L DN100 PN16;A;60;25;OK
NUT0004004;Junta espiralada 316L DN150 PN16;A;18;20;Bajo
NUT0004005;Junta grafito flexible DN25;B;200;80;OK
NUT0004006;Junta grafito flexible DN50;B;180;70;OK
NUT0004007;Junta grafito flexible DN100;B;55;60;Bajo
NUT0004008;Junta PTFE DN40;B;140;50;OK
NUT0004009;Junta PTFE DN80;B;75;30;OK
NUT0004010;Junta kammprofile DN150;A;25;12;OK
NUT0004011;Junta kammprofile DN200;A;8;15;Bajo
NUT0004012;Junta metálica RTJ R24;C;30;15;OK
NUT0004013;Junta metálica RTJ R31;C;6;12;Crítico
NUT0004014;Junta cobre recocido DN20;C;250;100;OK
NUT0004015;Junta cobre recocido DN50;C;160;60;OK
NUT0004016;Espárrago ASTM A193 B7 M12x80;A;500;200;OK
NUT0004017;Espárrago ASTM A193 B7 M16x100;A;420;150;OK
NUT0004018;Espárrago ASTM A193 B7 M20x120;A;300;120;OK
NUT0004019;Espárrago ASTM A193 B8M M16x100;B;180;60;OK
NUT0004020;Espárrago ASTM A193 B16 M24x150;B;35;40;Bajo
NUT0004021;Tuerca hexagonal 2H M12;A;800;300;OK
NUT0004022;Tuerca hexagonal 2H M16;A;700;250;OK
NUT0004023;Tuerca hexagonal 8M M16;B;450;150;OK
NUT0004024;Varilla roscada B7 M12 (1 m);C;120;40;OK
NUT0004025;Plancha acero al carbono 2000x1000x3 mm;C;45;20;OK
NUT0004026;Plancha inox 316L 3000x1500x2 mm;C;5;10;Crítico
NUT0004027;Plancha cobre 2000x1000x1,5 mm;C;18;8;OK
NUT0004028;Cubrebridas PTFE DN50;C;60;25;OK
NUT0004029;Cubrebridas PTFE DN100;C;35;15;OK
